nombre,apellido,nickname,codigociudad,total-ganancias,juego,genero
-,-,Leaoh,cn,125458.59,Hearthstone,Collectible Card Game
Bohan,Zhang,Lovelychook,cn,122179.36,Hearthstone,Collectible Card Game
Kevin,Eberlein,Casie,de,121712.5,Hearthstone,Collectible Card Game
Théo,Dumont,Felkeine,fr,121255.92,Hearthstone,Collectible Card Game
Eugene,Shumilin,Neirea,ua,121248.17,Hearthstone,Collectible Card Game
Alexey,Barsukov,ShtanUdachi,ru,117466.67,Hearthstone,Collectible Card Game
William,Barton,Amnesiac,us,114725.0,Hearthstone,Collectible Card Game
Jerome,Faucher,Monsanto,ca,110925.0,Hearthstone,Collectible Card Game
Paul,Nemeth,Zalae,us,110141.67,Hearthstone,Collectible Card Game
Cong,Shu,StrifeCro,us,106314.27,Hearthstone,Collectible Card Game
Mihai,Dragalin,languagehacker,ca,102887.5,Hearthstone,Collectible Card Game
Bo,Li,LiBo,cn,100759.37,Hearthstone,Collectible Card Game
Julien,Perrault-Harvey,Cydonia,ca,97593.92,Hearthstone,Collectible Card Game
Il Mook,Kang,handsomeguy,kr,97479.0,Hearthstone,Collectible Card Game
Shengyuan,Luo,Roger,tw,96719.1,Hearthstone,Collectible Card Game
Chris,Tsakopoulos,Fenomeno,gr,94073.0,Hearthstone,Collectible Card Game
Edwin,Cook,HotMEOWTH,us,91550.0,Hearthstone,Collectible Card Game
Juwei,Wu,XiaoT,cn,89346.12,Hearthstone,Collectible Card Game
Tsu Lin,Tsao,SamuelTsao,tw,89250.0,Hearthstone,Collectible Card Game
Kacper,Kwieciński,A83650,pl,87636.14,Hearthstone,Collectible Card Game
Zong Chang,Wu,BloodTrail,tw,86250.0,Hearthstone,Collectible Card Game
Wataru,Ishibashi,posesi,jp,84196.0,Hearthstone,Collectible Card Game
Zakarya,Hail,xBlyzes,fr,83373.91,Hearthstone,Collectible Card Game
Francisco,Leimontas,PNC,ar,82409.24,Hearthstone,Collectible Card Game
Tsz Kin,Lo,kin0531,hk,81932.0,Hearthstone,Collectible Card Game
George,Webb,BoarControl,gb,80924.07,Hearthstone,Collectible Card Game
Keaton,Gill,Chakki,us,80338.22,Hearthstone,Collectible Card Game
Ole,Batyrbekov,Naiman,kz,79671.53,Hearthstone,Collectible Card Game
Tyler,Hoang Nguyen,Tylerootd,nl,78375.0,Hearthstone,Collectible Card Game
Jan,Janßen,SuperJJ,de,77943.68,Hearthstone,Collectible Card Game
-,-,DocPwn,ca,77433.33,Hearthstone,Collectible Card Game
Yashima,Nozomi,Alutemu,jp,76675.0,Hearthstone,Collectible Card Game
Thomas,Zimmer,Sintolol,de,76346.78,Hearthstone,Collectible Card Game
Songyang,Zhao,Hamster,cn,74382.47,Hearthstone,Collectible Card Game
David,Acosta,killinallday,us,73575.0,Hearthstone,Collectible Card Game
Jeffrey,Shih,Trump,us,72637.5,Hearthstone,Collectible Card Game
Facu,Pruzzo,Nalguidan,ar,70750.0,Hearthstone,Collectible Card Game
Edward,Goodwin,Gallon213,us,70216.0,Hearthstone,Collectible Card Game
Chen,Yuxiang,Breath,cn,69487.73,Hearthstone,Collectible Card Game
-,-,Yueying,cn,68162.5,Hearthstone,Collectible Card Game
Jack,Bancroft,DeadDraw,gb,67950.0,Hearthstone,Collectible Card Game
Stanislav,Cifka,StanCifka,cz,67096.88,Hearthstone,Collectible Card Game
Baek,Hak Jun,Kranich,kr,66835.51,Hearthstone,Collectible Card Game
Hyun Soo,Cho,Flurry,kr,66730.8,Hearthstone,Collectible Card Game
Martin,Prête,Zhym,fr,65702.33,Hearthstone,Collectible Card Game
Louis,Bremers,Mitsuhide,nl,64140.31,Hearthstone,Collectible Card Game
Michael,Luker,Luker,ca,63000.0,Hearthstone,Collectible Card Game
Jason,Chan,Amaz,hk,62704.15,Hearthstone,Collectible Card Game
Jeffrey,Liu,Tarei,us,62454.4,Hearthstone,Collectible Card Game
Jan,Palys,Ek0p,de,60165.48,Hearthstone,Collectible Card Game
Xiao,Feng,Icefox,cn,59309.9,Hearthstone,Collectible Card Game
Sang Hyeon,Baek,DDaHyoNi,kr,58436.0,Hearthstone,Collectible Card Game
Dylan,Mullins,Hotform,ca,56250.0,Hearthstone,Collectible Card Game
Chun Pong,Ng,Yulsic,hk,54812.0,Hearthstone,Collectible Card Game
Li,Heyang,Sword,cn,54320.72,Hearthstone,Collectible Card Game
Simon,Raunholst,Crane,dk,53526.12,Hearthstone,Collectible Card Game
Anthony,Trevino,Ant,us,52375.0,Hearthstone,Collectible Card Game
-,-,Trunks,cn,51231.7,Hearthstone,Collectible Card Game
Petar,Stevanovic,Gaara,de,51059.59,Hearthstone,Collectible Card Game
Janne,Mikkonen,Savjz,fi,50734.44,Hearthstone,Collectible Card Game
Drew,Biessener,Tidesoftime,us,50449.6,Hearthstone,Collectible Card Game
Simone,Liguori,Leta,it,49300.0,Hearthstone,Collectible Card Game
Mike,Eichner,Ike,us,48550.0,Hearthstone,Collectible Card Game
Jeffrey,Brusi,SjoW,se,47973.61,Hearthstone,Collectible Card Game
