Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Bernd Cullmann,M,20.0,180.0,71.0,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Javier Culson Prez,M,28.0,200.0,82.0,Puerto Rico,PUR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres Hurdles,Bronze
Yumileidi Cumb Jay,F,29.0,183.0,104.0,Cuba,CUB,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Shot Put,Gold
Juan Carlos Cuminetti,M,21.0,199.0,86.0,Argentina,ARG,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Men's Volleyball,Bronze
Jeremy Michael Cummings,M,31.0,188.0,93.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
"Stephen Phillip ""Steve"" Cummings",M,23.0,190.0,75.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Rsul unayev,M,25.0,171.0,66.0,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Bronze
John Bruce Cuneo,M,44.0,168.0,66.0,Australia,AUS,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,Gold
Glenn Vernice Cunningham,M,26.0,178.0,70.0,United States,USA,1936 Summer,1936,Summer,Berlin,Athletics,"Athletics Men's 1,500 metres",Silver
Sandro Cuomo,M,21.0,185.0,80.0,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Men's epee, Team",Bronze
Sandro Cuomo,M,33.0,185.0,80.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's epee, Team",Gold
Ivan upi,M,26.0,178.0,78.0,Croatia,CRO,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Bronze
Ben Cureton,M,23.0,184.0,70.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
Sylvain Georges Michel Curinier,M,23.0,180.0,67.0,France,FRA,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Silver
Mario Curletto,M,24.0,175.0,62.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's Foil, Team",Silver
"Michael Vincent ""Mike"" Curran",M,27.0,175.0,78.0,United States,USA,1972 Winter,1972,Winter,Sapporo,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Denise Marie Curry,F,24.0,185.0,74.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Women's Basketball,Gold
John Anthony Curry,M,26.0,180.0,67.0,Great Britain,GBR,1976 Winter,1976,Winter,Innsbruck,Figure Skating,Figure Skating Men's Singles,Gold
